specimenID,population,stage,sex,morph,morph_sex,tissue,cohort,seeds,food_regime,plate,row,strip,well,rna_conc_ngul,A260_280,core_sample_number,kallisto_name,seq_date,read_filename,degraded,note,girth,wingCS,wingPC1,wingPC2,wingPC3,wingPC4,txCS,txPC1,wingpadCS,wingpadPC1,wingpadPC2,wingpadPC3,wingpadPC4
FC377_n11_te,AC15,adult,m,SW,SWm,gonad,20,20,low,2,D,12,D12,131.6,2.22,S138,D12_S138,180824,180824/D12_S138_L002_R1_001.fastq.gz,,,3.40217577,7.46838936,0.17165069,-0.0415501,-0.0171959,-0.0183626,3.50234981,-0.0093625,NA,NA,NA,NA,NA
FC374_n06_te,PK15,adult,m,SW,SWm,gonad,10,25,high,2,D,2,D2,146.9,2.21,S58,D2_S58,180824,180824/D2_S58_L002_R1_001.fastq.gz,,,3.87512061,8.94465839,0.1633077,0.07963417,0.04579096,-0.0005449,4.03817164,0.00262517,NA,NA,NA,NA,NA
FC374_n07_dt,PK15,adult,f,LW,LWf,thorax,10,25,high,2,D,3,D3,932.8,2.2,S66,D3_S66,180824,180824/D3_S66_L002_R1_001.fastq.gz,,,NA,14.027458,-0.1296003,0.00418621,0.0036157,0.00150678,4.6166901,-0.0060705,NA,NA,NA,NA,NA
FC374_n07_ov,PK15,adult,f,LW,LWf,gonad,10,25,high,2,D,4,D4,117.4,2.16,S74,D4_S74,180824,180824/D4_S74_L002_R1_001.fastq.gz,,,NA,14.027458,-0.1296003,0.00418621,0.0036157,0.00150678,4.6166901,-0.0060705,NA,NA,NA,NA,NA
FC375_n01_dt,PK15,adult,m,SW,SWm,thorax,30,10,low,2,D,5,D5,433.1,2.17,S82,D5_S82,180824,180824/D5_S82_L002_R1_001.fastq.gz,,,4.17729563,9.06908473,0.09649521,-0.024862,0.00117918,-0.003969,4.06055894,-0.013853,NA,NA,NA,NA,NA
FC375_n01_te,PK15,adult,m,SW,SWm,gonad,30,10,low,2,D,6,D6,81.1,2.21,S90,D6_S90,180824,180824/D6_S90_L002_R1_001.fastq.gz,,,4.17729563,9.06908473,0.09649521,-0.024862,0.00117918,-0.003969,4.06055894,-0.013853,NA,NA,NA,NA,NA
FC375_n05_dt,PK15,adult,m,LW,LWm,thorax,30,10,low,2,D,7,D7,530.9,2.18,S98,D7_S98,180824,180824/D7_S98_L002_R1_001.fastq.gz,,,3.75641313,12.5176702,-0.1325585,0.03034473,-0.001658,0.01133773,4.094393,-0.0301802,NA,NA,NA,NA,NA
FC375_n05_te,PK15,adult,m,LW,LWm,gonad,30,10,low,2,D,8,D8,117.9,2.23,S106,D8_S106,180824,180824/D8_S106_L002_R1_001.fastq.gz,,,3.75641313,12.5176702,-0.1325585,0.03034473,-0.001658,0.01133773,4.094393,-0.0301802,NA,NA,NA,NA,NA
FC375_n07_dt,PK15,adult,f,SW,SWf,thorax,30,10,low,2,D,9,D9,707.6,2.23,S114,D9_S114,180824,180824/D9_S114_L002_R1_001.fastq.gz,,,5.18347145,11.6780808,0.0069923,-0.0156237,-0.0259008,0.04811953,4.75861258,3.82E-05,NA,NA,NA,NA,NA
FC399_n06_dt,KL15,adult,f,SW,SWf,thorax,14,14,low,4,A,1,A1,789.8,2.17,DAJHX1,DAJHX1_UMI_S1,200701,200701/DAJHX1_UMI_S1_L001_R1_001.fastq.gz,FALSE,,4.91338039,10.0696973,0.11694927,-0.0334119,-0.0303982,0.03733295,4.40660406,0.02348918,NA,NA,NA,NA,NA
FC399_n06_dt,KL15,adult,f,SW,SWf,thorax,14,14,low,4,A,1,A1,789.8,2.17,DAJHX1,DAJHX1_UMI_S186,200611,200611/DAJHX1_UMI_S186_L008_R1_001.fastq.gz,FALSE,,4.91338039,10.0696973,0.11694927,-0.0334119,-0.0303982,0.03733295,4.40660406,0.02348918,NA,NA,NA,NA,NA
FC406_n04_ov,PK15,adult,f,SW,SWf,gonad,25,40,high,4,A,10,A10,183.7,2.15,DAJHX10,DAJHX10_UMI_S10,200701,200701/DAJHX10_UMI_S10_L001_R1_001.fastq.gz,FALSE,,4.52642768,8.43979781,0.20528866,-0.0002794,-0.0030802,0.03558138,4.12263878,0.05720735,NA,NA,NA,NA,NA
