"","specimen.id","population","morph","sex","morph.sex","cohort","seeds","food_regime","girth","wingCS","wingPC1","wingPC2","wingPC3","wingPC4","txCS","txPC1"
"FC442_n28","FC442_n28","FR15","LW","female","LWf",82,96,"high",4.3822300843846,13.7285780245169,-0.155802795112788,0.00225494123963036,-0.0184425161716743,0.00675224249935657,4.25238003346544,0.0140682933312475
"FC443_n10","FC443_n10","AC15","LW","male","LWm",16,20,"high",3.79404197061348,12.4591319460029,-0.138872688051921,0.00296231806479911,-0.00389216569568417,0.00916694972039371,3.89519780662771,-0.00477183688688764
"FC445_n21","FC445_n21","AC15","LW","female","LWf",51,60,"high",4.37863395371686,11.64995321978,-0.062213516978104,-0.0127827138273757,-0.00158770537222908,0.00405351399079863,4.04474617032106,0.0255388537103064
"FC451_n12","FC451_n12","AC15","LW","male","LWm",29,15,"low",3.44080681637281,10.0479581602663,-0.0902021754320893,-0.0296797727634469,0.0285464282139548,-0.014617851750952,3.42450195601231,0.0133819905168636
"FC451_n14","FC451_n14","AC15","LW","male","LWm",29,15,"low",3.72161246139654,11.0958108353,-0.126660156667253,0.00315719474775679,-0.00774579518756588,0.0125120833470892,3.73433708761982,-0.045466304163838
"FC453_n15","FC453_n15","AC15","LW","female","LWf",45,60,"high",4.26560378192135,13.2241788615156,-0.12042830326002,0.00906467807213688,-0.00357404651007578,0.0217758730703157,4.13163930626437,0.035336394645582
"FC460_n01","FC460_n01","PK13","LW","male","LWm",17,32,"high",3.97231321887836,12.5678509589119,-0.154635516136668,0.0298681931927675,0.0434616121735608,0.00204482322797381,4.21582660821778,-0.00428063383240308
"FC473_n11","FC473_n11","AC15","LW","female","LWf",34,10,"low",3.71387762752706,10.0646598947679,-0.090529277060297,0.000294569586420431,0.0133413205124437,0.00438425570090259,3.3957454495703,0.0142968988062682
"FC477_n20","FC477_n20","AC15","LW","female","LWf",45,20,"low",4.04458134474751,12.6879863786932,-0.13060723996578,-0.00084815212368174,-0.000191865054262809,0.000641624221859773,4.07623187043698,0.0112646862013073
"FC478_n21","FC478_n21","AC15","LW","male","LWm",45,18,"low",NA,11.794552852212,-0.146261509520073,-0.00719736178393062,0.010126135375307,-0.00189716728416453,3.670532695634,-0.00771675457303074
"FC375_n07","FC375_n07","PK15","SW","female","SWf",30,10,"low",5.18347144928344,11.6780808265868,0.00699230066313122,-0.0156237069364408,-0.0259008351665903,0.0481195338528511,4.75861257586044,3.82468454157379e-05
